,Name,InvestId,ProjectId,ProjectType,ReInvestType,AssetType,InvestMode,TotalCount,Amount,AccruedRevenue,InvestDate
0,自助投[20181024-20],2895102,1017219,104043,1,10,1,192,50000.0,10315.06,2018-10-27 15:49
1,自助投[20180828-1],2679152,1016092,104043,1,10,1,156,22000.0,4900.27,2018-08-28 11:19
2,自助投[20180827-4],2674233,1016070,104043,1,10,1,235,50000.0,11150.68,2018-08-27 11:03
3,自助投[20180827-4],2674203,1016070,104043,1,10,1,260,50000.0,11150.68,2018-08-27 11:02
4,自助投[20180827-4],2674178,1016070,104043,1,10,1,215,50000.0,11150.68,2018-08-27 11:01
5,自助投[20180826-8],2673856,1016064,104043,1,10,1,214,50000.0,11150.68,2018-08-27 08:47
6,自助投[20180826-4],2672031,1016060,104043,1,10,1,231,50000.0,11164.38,2018-08-26 14:44
7,自助投[20180826-4],2672011,1016060,104043,1,10,1,218,50000.0,11164.38,2018-08-26 14:40
8,自助投[20180826-4],2671989,1016060,104043,1,10,1,283,50000.0,11164.38,2018-08-26 14:33
9,自助投[20180825-6],2671950,1016050,104043,1,10,1,274,50000.0,10047.94,2018-08-26 14:20
10,自助投[20180810-4],2617612,1015810,104043,1,10,1,122,20000.0,3501.91,2018-08-11 12:48
11,自助投[20180808-16],2611704,1015791,104043,1,10,1,382,50000.0,11397.26,2018-08-09 00:23
12,自助投[20180808-16],2611700,1015791,104043,1,10,1,268,50000.0,11397.26,2018-08-09 00:21
13,自助投[20180808-16],2611696,1015791,104043,1,10,1,269,50000.0,11397.26,2018-08-09 00:20
14,自助投[20180808-15],2610658,1015790,104043,1,10,1,303,50000.0,11410.95,2018-08-08 16:04
15,自助投[20180808-15],2610644,1015790,104043,1,10,1,267,50000.0,11410.95,2018-08-08 15:57
16,自助投[20180808-15],2610628,1015790,104043,1,10,1,259,50000.0,11410.95,2018-08-08 15:50
17,自助投[20180425-23],2247171,1013720,104043,1,10,1,95,20000.0,3696.65,2018-04-26 10:55
